"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","","98","OT","OTHER STATES","","","","","","","","00000000","","","9000","UNITED STATES","OTHER STATES","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","0",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","330,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR - JUN ACREAGE","","2023-06-30 12:00:00.000","360,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR - MAR ACREAGE","","2023-03-31 12:00:00.000","350,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","01","01","AL","ALABAMA","","","","","","","","00000000","","","9000","UNITED STATES","ALABAMA","2023","ANNUAL","00","00","YEAR - SEP FORECAST","","2023-09-12 12:00:00.000","345,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","04","04","AZ","ARIZONA","","","","","","","","00000000","","","9000","UNITED STATES","ARIZONA","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","105,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","04","04","AZ","ARIZONA","","","","","","","","00000000","","","9000","UNITED STATES","ARIZONA","2023","ANNUAL","00","00","YEAR - JUN ACREAGE","","2023-06-30 12:00:00.000","100,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","04","04","AZ","ARIZONA","","","","","","","","00000000","","","9000","UNITED STATES","ARIZONA","2023","ANNUAL","00","00","YEAR - MAR ACREAGE","","2023-03-31 12:00:00.000","100,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","04","04","AZ","ARIZONA","","","","","","","","00000000","","","9000","UNITED STATES","ARIZONA","2023","ANNUAL","00","00","YEAR - SEP FORECAST","","2023-09-12 12:00:00.000","105,000",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","05","05","AR","ARKANSAS","","","","","","","","00000000","","","9000","UNITED STATES","ARKANSAS","2023","ANNUAL","00","00","YEAR","","2024-01-12 12:00:00.000","850,000",""
